date,deaths,cases
20200331,3746,184770
20200330,2939,160530
20200329,2428,139061
20200328,1965,118234
20200327,1530,99413
20200326,1163,80735
20200325,900,63928
20200324,675,51954
20200323,471,42152
20200322,398,31879
20200321,272,23197
20200320,219,17033
20200319,160,11719
20200318,112,7730
20200317,90,5591
20200316,71,4019
20200315,60,3173
20200314,49,2450
20200313,39,1922
20200312,36,1315
20200311,27,1053
20200310,NA,778
20200309,NA,584
20200308,NA,417
20200307,NA,341
20200306,NA,223
20200305,NA,176
20200304,NA,118
